2.1.0  -> 2.1.1

r15605 | romy      | Ces parentheses residuelles dans les boutons d'admin etaient vraiment trop bizarres.
r15607 | cedric    | switcher sur les extensions du tag
r15609 | cedric    | Ne pas supprimer les espaces insecables (forums), et ne pas toucher au texte quand aucun mot n'est plus long que la limite
r15610 | cedric    | sql_error() doit renvoyer une chaine vide quand il n'y a pas d'erreur ! corrige une erreur dans [14529] qui a de plus le mauvais gout de ne pas avoir ete portee sur postgre et sqlite
r15612 | arno      | Cache etait fixe a  0.
r15613 | cedric    | report de [15578]
r15614 | cedric    | report de [15579]
r15615 | kent1     | Les autorisations etaient manquantes
r15617 | cedric    | ne pas ignorer $option='continue' dans sql_getfetsel (commito et azerty)
r15618 | fil       | remettre un peu de display sur les elements du debug
r15620 | cedric    | le correctif de [15401] etait incorrect car en cas d'url arbo ajouter spip.php est faux. On ajoute simplement une ancre.
r15624 | esj       | La fonctionnalite [14862] de base/upgrade aurait da tre incluse dans SPIP 2.1.0, mais a ete oubliee. Je la remets, autrement dit je copie ce fichier de la 2.2 vers la 2.1 moins [14627] mais j'ai l'impression que la  aussi c'etait qqch de prt et d'oublie. Toujours autour du fichier base/upgrade, [14730] n'avait pas applique le mme correctif sur la 2.2 que sur les autres, je resyncrhonise.
r15625 | rasta     | Un espace avant l'URL pour que les mauvais logiciels de mail la reconnaissent comme lien
r15627 | fil       | http://trac.rezo.net/trac/spip/changeset/15329/branches/spip-2.1/ecrire/inc/filtres.php introduisait des espaces en trop, et http://trac.rezo.net/trac/spip/changeset/15535 les perennisait
r15628 | esj       | Eviter un offset indefini, d'ailleurs absent en 2.2
r15629 | esj       | Indefinis dans un log.
r15630 | esj       | Eviter un indefini systematique
r15631 | fil       | controler le statut afin d'eviter de reproposer un article deja publie (#1932)
r15635 | kent1     | Ce n'est pas parce que l'on ne dispose pas de la fonction "imagerotate" (qui n'est disponible que si PHP est compile avec la version embarquee de la bibliotheque GD => http://www.php.net/manual/fr/function.imagerotate.php) que l'on ne peut tourner les images ... 
r15636 | esj       | En gerant plus soigneusement l'acces aux bases externes dans un SPIP mutualise, [14265] avait laisse passer la base courante comme base externe possible alors qu'il etait bien prevu de ne pas proposer cette idiotie.
r15637 | esj       | Du code mort depuis [15121] qui provoquait une bardee d'indefinis inutilement alarmants.
r15638 | esj       | Une base SQL homonyme au login SQL n'etait plus pre-selectionnee a  l'installation. Et retrait de qq indefinis.
r15639 | esj       | La liste des bases disponibles en PG avait saute lors de la revision generale des erreurs SQL de [14543].
r15640 | eric      | Ajout d'un 5eme argument title dans la balise #BOUTON_ACTION pour afficher des bulles sur les liens.
r15641 | eric      | Oups un debug non supprime
r15642 | esj       | La chaane {{{base_reconnue}}} n'etait pas reconnue car c'est en fait {{{install_base_ok}}} (pas bazooka hein).
r15643 | esj       | Deux bugs pour le prix d'un: la liste des tables d'une base se fait systematiquement sur le serveur principal, les bases externes sur un 2e serveur n'etaient jamais decrites. Ce code etait de plus inutilement duplique.
r15645 | esj       | Mme pas capable d'envoyer le mme correctif dans les 2 branches ([15639])
r15646 | esj       | Suite de [15643]: trois bugs pour le prix d'un.
r15647 | esj       | Quatre bugs pour le prix d'un, je vais me coucher.
r15648 | esj       | La detection automatique de tables externes en PG ne marchait plus.
r15649 | salvatore | langues (spip)
r15650 | salvatore | langues (ecrire)
r15651 | esj       | Indefinis desagreables.
r15652 | esj       | Indefinis
r15653 | esj       | Code mort, et d'ailleurs inexecutable. A noter que la 2.2 semble en retard par rapport a  ca.
r15654 | esj       | Un saut de ligne en plus de {{{<br />}}} sinon la copie d'une requte SQL dans le debusqueur acolle les mots cles.
r15655 | cedric    | pipeline post_insertion, permet aux plugins de rattacher des objets aux en attente au moment de la creation en base de l'objet principal+ correction sur le pipeline pre_insertion pour spip_auteurs
r15660 | cedric    | [15562] avait remplace a tort addcslashes(..,"'\\") par addslashes avant de le generaliserResultat, impossible d'avoir un " dans un mot de passe sql (thomas)
r15662 | cedric    | lorsque l'id retourne est nul, c'est aussi une erreur
r15664 | denisb    | on integre width et height dans le tag img des puces. 
r15667 | esj       | Pour appliquer le validateur XML en boucle sur un repertoire de plugin, il faut faire {{{basename}}} dessus avant d'appeler {{{charger_fonction}}}. Mais avant SPIP savait que le script {{{export_all}}} ne devait pas tre soumis a  la validation, il y a qqch de change qq part.
r15669 | fil       | en cas de connexion sql morte, un vieux cache exploitable doit passer par gunzip (experience vecue)
r15671 | fil       | a cause de l'intransigeance du compilateur sur la casse, les stats en CSV etaient cassees
r15672 | esj       | Table des metas et procedure de mise a  jour: generalisation. La fonctionnalite [14862] introduite en retard dans SPIP 2.1 par [15624] permettant aux plugins d'utiliser la fonction {{{maj_while}}} pour leur propre mise a  jour avait deux lacunes. La premiere etait d'arrter tout le processus en cas de probleme, alors que pour un plugin c'est un blocage rarement legitime. La fonction {{{maj_while}}} retourne donc a  present un resultat (vide si ok, infos si echec), et c'est l'appelant qui decide d'arrter les frais ou pas. Teste sur une grosse mise a  jour 1.9.2 -> 2.1.0dev sans pb apparent. L'autre lacune concernait une confusion possible sur la meta a  utiliser pour assurer la reprise sur interruption. C'etait assez theorique, mais de fil en aiguille, on se retrouve avec une fonctionnalite encore plus generale: les fonctions {{{ecrire_meta effacer_meta lire_metas inc_meta_dist}}} s'appliquent sur eventuellement d'autres tables que spip_meta, en gerant un cache pour chacune. Cette fonctionnalite permet en particulier a  chaque plugin d'avoir sa table des meta, ce qui facilite la sauvegarde de tout ce qui le concerne, et fournit un acces a priori bien plus rapide que l'avalanche d'objets et de tableaux que CFG alloue a  chaque appel de lire_config. 
r15673 | esj       | Generalisation des tables des meta: prendre l'alea ephemere de la table des metas standard en toute circonstance.
r15674 | fil       | ajout du type='mime/type' sur le raccourci {{{ [<emb1>->doc1] }}}
r15675 | esj       | Metas multi-tables, suite de [15762]: le numero de version de l'ensemble des tables SQL du plugin n'a pas non plus a priori a  tre dans la table generale des meta. En consequence, on repere maintenant dans {{{plugin.xml}}} un element optionnel {{{meta}}} qui indique la table des meta specifique du plugin. Cette information est utilisee par {{{spip_plugin_install}}} qui appelle les fonctions {{{upgrade}}} et {{{vider_tables}}} specifique du plugin en leur transmettant cette information, et qui en tient compte pour trouver le dit numero de version et le comparer a  celui figurant dans {{{plugin.xml}}}. La meta ayant pour valeur ce numero est {{{version_base}}} si la table est specifique, et {{{$PLUGIN_version_base}}} sinon, comme auparavant.
r15676 | kent1     | Restauration correcte des types mime des fichiers Ogg sur les branches 2.1 et 2.2 (http://trac.rezo.net/trac/spip/ticket/1941). Ajout des types de fichiers : f4a/f4b/f4p/f4v/mpc (http://en.wikipedia.org/wiki/Flv#File_formats) sur les branches 2.1 et 2.2. Report du commit oublie : 14272 (http://trac.rezo.net/trac/spip/changeset/14272) sur la branche 2.2. Upgrade de la base en version 15676 sur les branches 2.1 et 2.2. Rend homogene (cosmetique) les espaces dans les arrays des documents
r15677 | kent1     | un alt vide sur les icones des plugins pour la validite xhtml (branches 2.1 et 2.2)
r15678 | esj       | Il est contre-intuitif que la balise {{{#PLUGIN{nom, info}}} ne marche que pour 4 valeurs de {{{info}} et pas pour toutes celles calculees par {{{plugin_get_infos}}}. Ni les unes ni les autres ne sont d'ailleurs documentees.
r15679 | cedric    | traiter les src de progid:DXImageTransform.Microsoft.AlphaImageLoader(src=...) lors du passage en url absolue dans les css
r15680 | esj       | Donner a  afficher_plugin un argument optionnel supplementaire, permettant de remplacer CFG par un autre outil de configuration.
r15681 | esj       | Oups
r15682 | esj       | Autre solution que [15680] a  l'abstraction de l'appel a  CFG: appeler celui-ci en lui donnant un autre script de configuration que lui-mme (cf [http://zone.spip.org/trac/spip-zone/changeset/38187 SPIP-Zone 28187]), trouve sous la balise {{{config}}} de {{{plugin.xml}}}. Ca permet une transition en douceur vers l'abandon du traitement des metas du plugin dans CFG sans renoncer au reste, du moins dans un premier temps.
r15683 | esj       | Fin de l'abstraction de l'appel a  CFG: la balise {{{config}}} de {{{plugin.xml}}} donne finalement une fonction retournant un groupe de liens (un seul en general) qui renvoie sur les scripts d'installation. Cette fonction doit tre presente dans les fichiers indiques par la balise {{{install}}}. Par defaut cette fonction est celle chargeant CFG et utilise {{{icone_lien_cfg}}}. 
r15684 | esj       | Manque un >. Resoud #1942.
